Dataset,Max Depth,Impurity,Train,Test,Time
occupancy-estimation,4,gini,0.9949401456250772,0.9901283316880553,11.489831686019897
occupancy-estimation,4,entropy,0.9955572010366531,0.9911154985192497,10.879239320755005
occupancy-estimation,5,gini,0.9976551894360114,0.993583415597236,37.087502241134644
occupancy-estimation,5,entropy,0.9979020116006417,0.993583415597236,31.152199506759644
occupancy-estimation,6,gini,0.9988893002591632,0.9940769990128332,110.09662079811096
occupancy-estimation,6,entropy,0.9990127113414785,0.993583415597236,72.03484320640564
occupancy-estimation,7,gini,0.9998765889176848,0.9945705824284304,279.6191008090973
occupancy-estimation,7,entropy,0.9998765889176848,0.993583415597236,154.41671705245972
occupancy-estimation,8,gini,1.0,0.993583415597236,603.9602718353271
occupancy-estimation,8,entropy,1.0,0.9945705824284304,339.81760573387146

miniboone,3,gini,0.866526991571441,0.8679121977472802,67.53051209449768
miniboone,3,entropy,0.864854734697408,0.866605158958982,65.61188435554504
miniboone,4,gini,0.8770314557284409,0.8790989120824203,225.28405570983887
miniboone,4,entropy,0.8769449596832323,0.8792526813516319,213.84264612197876
miniboone,5,gini,0.8908035482599879,0.8900549725137431,709.612359046936
miniboone,5,entropy,0.8897655957174847,0.8882097412832045,670.2652397155762
miniboone,6,gini,0.899626144871265,0.8978587629262292,2141.3917932510376
miniboone,6,entropy,0.8992801606904307,0.898589166954984,1964.5225973129272
miniboone,7,gini,0.9068341486386483,0.9017798792911237,6126.650748252869
miniboone,7,entropy,0.9063151723673968,0.9023180717333641,5625.389108181
miniboone,8,gini,0.915195433008813,0.9057778802906239,17628.15519595146
miniboone,8,entropy,0.9143016405416574,0.9066236112712874,16478.978004932404

sensorless-drive-diagnosis,3,gini,0.4978315209263572,0.4928217398735259,40.71381092071533
sensorless-drive-diagnosis,3,entropy,0.4978315209263572,0.4928217398735259,39.91668629646301
sensorless-drive-diagnosis,4,gini,0.6072168692716902,0.6068193471201504,147.5267300605774
sensorless-drive-diagnosis,4,entropy,0.6051231653385177,0.6056229704324048,144.92612266540527
sensorless-drive-diagnosis,5,gini,0.6728480782788899,0.6752691847547427,468.94625663757324
sensorless-drive-diagnosis,5,entropy,0.6760099985044972,0.6759528285763118,461.67398834228516
sensorless-drive-diagnosis,6,gini,0.7321127181831777,0.7267988378055034,1577.7813260555267
sensorless-drive-diagnosis,6,entropy,0.731386331104322,0.7267988378055034,1563.8669652938843
sensorless-drive-diagnosis,7,gini,0.7833230072425065,0.7786703127670483,5645.315677881241
sensorless-drive-diagnosis,7,entropy,0.7886427243788322,0.7817467099641087,5664.372025966644
sensorless-drive-diagnosis,8,gini,0.825496186467836,0.8140488805332422,20799.202526569366
sensorless-drive-diagnosis,8,entropy,0.831435469053774,0.8206289523158434,22315.9933116436

ml-prove,3,gini,0.4524847428073234,0.43790849673202614,5.275304794311523
ml-prove,3,entropy,0.4579337401918047,0.44313725490196076,1.7397451400756836
ml-prove,4,gini,0.4784219703574542,0.4522875816993464,6.427130937576294
ml-prove,4,entropy,0.47929380993897125,0.4699346405228758,6.657228708267212
ml-prove,5,gini,0.5124237140366172,0.48104575163398694,25.48890781402588
ml-prove,5,entropy,0.5117698343504795,0.4928104575163399,28.527374744415283
ml-prove,6,gini,0.5479511769834351,0.5117647058823529,113.60872101783752
ml-prove,6,entropy,0.54359197907585,0.49411764705882355,124.56739497184753
ml-prove,7,gini,0.5821708805579773,0.5104575163398692,484.2033109664917
ml-prove,7,entropy,0.5784655623365301,0.5084967320261438,565.70126080513
ml-prove,8,gini,0.6187881429816914,0.5176470588235295,2175.050104856491
ml-prove,8,entropy,0.6183522231909329,0.5189542483660131,2761.0074977874756

avila,3,gini,0.5650047938638543,0.5621347130401456,14.864033222198486
avila,3,entropy,0.5639501438159157,0.5640509725016767,12.96880292892456
avila,4,gini,0.6027804410354746,0.5925074255054135,47.66320776939392
avila,4,entropy,0.5897411313518696,0.5903037271246527,49.431249141693115
avila,5,gini,0.6366251198465963,0.6250838363514419,144.15359902381897
avila,5,entropy,0.637967401725791,0.637347896905241,169.52816200256348
avila,6,gini,0.6788111217641419,0.669828494778193,498.74173617362976
avila,6,entropy,0.6831255992329818,0.6746191434320207,483.30022287368774
avila,7,gini,0.7322147651006712,0.7100699434703459,1863.8180468082428
avila,7,entropy,0.7372003835091083,0.7249209542972118,1713.8691251277924
avila,8,gini,0.7913710450623203,0.774360448404714,6593.230843067169
avila,8,entropy,0.8014381591562799,0.7766599597585513,6070.531028985977
